cpu_usage,disk_usage,memory_usage,network_in,network_out,label,label_encoded
36.83591010202581,25.73629895128267,29.62792628019295,672.702994208898,571.9958782835928,normal,0
85.81071604484288,56.061580527160444,28.523409930399986,796.6813971913723,805.4323292999863,normal,0
67.21948505396944,84.2003960494947,77.96909353907775,250.46789879249897,760.160929790159,normal,0
55.88597115674811,72.2391153448127,28.715964988712958,624.8740996069989,153.8999046937737,normal,0
18.261584437607105,78.55769756822323,30.396229459647326,571.7459831437487,149.24946974147392,normal,0
95.25582753222739,96.16429278438048,94.92001729432083,832.8303767882711,268.1743677449133,false_data_injection,1
9.937107034296954,68.84350798401746,43.7304881837905,906.0870604812606,361.0747263410372,normal,0
78.62497239086949,82.18163038305214,68.2532917716386,12.156771477386808,408.4555814084826,normal,0
98.88399218604316,99.23773816527368,91.81817652837339,674.0199190587927,679.6972168333452,false_data_injection,1
99.89515920395834,97.10368281284309,95.01945405131842,51.83579911972902,56.680432165835406,false_data_injection,1
6.7496820151432075,28.80280255466619,12.521020013746197,548.8586650773559,34.67270422606639,normal,0
87.44233743376952,93.951780679715,14.69899025915159,287.6327290436782,391.91056294390904,normal,0
99.653361277812,95.12322202318161,96.96688987873196,306.7765995221412,697.1636921379804,false_data_injection,1
23.048824407653473,13.351278966323001,20.443402833819636,352.9585034523566,193.43534295648257,normal,0
20.455122212603552,69.97388966383352,49.931551170641285,621.2924490496101,641.5044812562517,normal,0
20.589383337541875,88.6461069803316,40.832170195052996,334.04996566876923,259.8281379402995,normal,0
96.54845855552594,96.00897474126228,99.08826497716862,732.6990505902804,886.0861088135164,false_data_injection,1
49.60429668874021,58.275344596973504,77.48750092654544,404.5273855738697,895.6899442666165,normal,0
41.71532658457984,87.81650529498356,11.636754758161713,68.35320030995862,297.28720428132647,normal,0
29.754476916833564,12.8854081797929,59.78422646316918,783.7598424841073,229.99375396324052,normal,0
57.007496051402256,69.2807227159814,82.25458256601628,285.758324592706,411.30397206623127,normal,0
98.01234585228633,97.4489293399412,95.28656603989276,432.7668795992626,240.5315851801487,false_data_injection,1
29.832295125493545,88.57367660700508,80.26168465248189,685.4438832219015,672.3838432917037,normal,0
96.51609891922125,99.83279219690272,99.44707381672481,332.456157148712,826.0646845482855,false_data_injection,1
96.63085127064127,97.34278497295567,91.47958334109406,56.58565614671562,673.092130911217,false_data_injection,1
71.73995671840616,50.30820841588442,29.511834322153838,373.9210470128136,824.3504472493495,normal,0
21.972271483460577,83.27362533409165,64.81157237355472,944.4485826943035,396.9921622074741,normal,0
48.709927265156985,81.78669887548098,83.5972817872935,641.7343972985582,156.31697070886085,normal,0
55.35523835327361,37.12354022567673,29.239754683318587,671.4791486672069,737.9509473975921,normal,0
98.02948407589741,97.14175900284422,90.27106652336234,632.2821536376398,360.4745051415539,false_data_injection,1
56.64131241162226,13.145648950816874,24.857322456980512,198.9921389594368,671.2708252291325,normal,0
19.49455051341978,60.682939670974505,52.39976909287074,418.33386410228013,270.6439419817657,normal,0
10.529385403748758,29.55075116945476,44.794936501625216,750.9397983633182,81.22963480667266,normal,0
98.38436137913789,95.32047355518088,95.96142649549897,101.37289755315915,992.5817954877634,false_data_injection,1
99.79069059902248,96.23815821535719,93.48051955477321,277.8527760897123,156.2015079305993,false_data_injection,1
73.7137745898992,69.18454594964189,36.21297790651141,276.3191084658536,988.420993963481,normal,0
30.89217037973651,38.889371920285626,18.557183866595004,432.018927594506,977.2799325664473,normal,0
13.302129690542628,71.60517557994473,21.34351215512009,980.368740942185,793.8181039080397,normal,0
98.47485066560738,97.57583514193294,99.90285170584941,67.50254668382195,659.4229620819975,false_data_injection,1
42.41296196786611,36.79967871560188,28.82249960052235,518.700994380595,577.8070502510847,normal,0
97.41008669888467,98.78888280187579,92.81918355597251,179.36468201221047,866.1015453778347,false_data_injection,1
95.67830733580189,96.30024020126217,93.85058055718962,970.6765454097441,289.43952161948795,false_data_injection,1
7.923024294793564,37.09396274922594,49.25431835307748,113.3035047274642,467.68121248487705,normal,0
82.29223417669648,63.20076699714577,18.60766539019131,403.60100236159127,619.3899693665019,normal,0
26.99629843600144,85.30810860007591,74.51047700120762,737.8849848346061,411.1904758694911,normal,0
98.00291598493568,95.83127665174851,93.79737404821648,704.5544280274453,427.48645409026796,false_data_injection,1
31.49544146759993,29.80155535405887,15.075127142500119,422.7286368939323,330.2846675020844,normal,0
49.20578180011392,12.074066432305731,63.08763229223265,346.52416795271824,564.231816684536,normal,0
51.47037374417877,83.95840428157904,50.76536630069845,397.61237855287055,850.574528015116,normal,0
97.17265481652248,99.3476683590749,91.80657541311304,264.27626315863927,201.52837800631283,false_data_injection,1
87.41469335998748,84.34964217815696,44.372548114649234,205.3329387067998,934.4330387534415,normal,0
70.88628998569473,54.95965639231302,46.352221534753525,483.03969755889,689.0876537482296,normal,0
84.85741003295607,89.82075437359617,22.43309051224568,268.5337560676073,823.2732126800302,normal,0
81.06032478635015,77.89657504076156,80.92736102502117,287.4616648972501,556.1906926300117,normal,0
95.03091911320449,99.05341785168795,99.48369552788918,656.7560634745571,779.5167014240635,false_data_injection,1
83.35930997696494,39.81050431339536,60.176675299683126,968.5373316998922,16.20039733946721,normal,0
12.521862674413157,75.21100455914579,44.67216707504554,603.6372005593751,818.3804247795352,normal,0
21.65854330562734,44.16412765678558,40.88241561883814,76.97946706496627,40.13885908536652,normal,0
8.844319557395735,50.789427725832255,58.82301003632156,75.58361385406698,889.9133763628626,normal,0
32.653078114877474,63.337964373561455,50.90739020551791,951.423220845566,991.9627472386433,normal,0
99.91670384207113,96.20800638217881,96.81282110532433,297.2907903073336,294.06746217677784,false_data_injection,1
99.13195155800278,98.50749550732583,94.59343655593956,92.06698608247544,210.31855628579365,false_data_injection,1
96.93986377198944,99.14782915714184,91.33695654399436,599.0445871503815,765.3633638580407,false_data_injection,1
35.32403276895509,45.51017648422337,44.44299081977186,623.6487782902661,253.02634092025323,normal,0
28.879433323427364,45.81534519355097,13.89674331657013,648.5048201186881,865.5623831722035,normal,0
97.37384503021826,96.68161697135167,99.20535885102555,267.4020278575413,102.8425921574767,false_data_injection,1
16.978559122854826,30.296057390305698,25.10228366019808,15.110684214475034,125.95519637935826,normal,0
73.18674336409337,19.390299616168548,29.396562616602907,965.0153694544719,979.1515551006156,normal,0
